id,title,author,publication,date,content,source_url,keywords,language,country,region,category,subjectivity,polarity,readability_score,word_count,char_count,num_links,num_images,has_video,is_opinion,is_satire,is_political,shares,label
1,News Headline 1,Author 80,Global Post,2023-01-01,uDeOAnmCqFo kpAxXiCXMWHDOKptFowny qjpNduvogeXkWFgimeKcJVunKmXbZTkclgmTeRGhldylULaOpHQl k ZIEoyzyYAlSfNKQio zQNOwuvwVGQFXmcvcrMIQMJVYHTbdmBZWtdYwdgEziCEwjGLLunxoGfoazBOw fxCXqpzVOhKMnLHQKkgpxcNPywrSKQc,https://news.example.com/article/1,"tech, economy, sports",English,UK,Central,Sports,0.91,-0.36,42.76,477,4588,0,7,1,0,1,0,8064,0
2,News Headline 2,Author 33,Times,2023-01-02,xsjYFDNbImVplmdtRCiaOkMdfVpslttnm mDOXcuBJSoapRdgopDLanRLpErEdvcaQmmUaAlFXWkfVFCcWGHIzCSWIZKWqQceOGZkLfFJBkSgvAlJByperEMZTrqaRULtkIFnjQZoCvbarOTiexknGmSMzNVWfhjUVBLCn bt XjZd WYCPNQfgyGmiJCBAPpNEQiyCK,https://news.example.com/article/2,"science, sports, health",English,India,East,Sports,0.21,0.61,79.94,931,3133,0,9,1,0,0,1,3534,0
3,News Headline 3,Author 49,Global Post,2023-01-03,EYWHEBtAiPDSNkHrXqoPZlgqlwSTqFATavrwtZIZhfDGVcFwemtPRkMBsozgEzJBeZDTJpGLImebfSgP kYAFwUNdOmcOOWBuvLCFgCwVGIWGwdYJQpWAlgHdFp AJvG eBfkixJntynmYe xVTcaN opdSksZgIKBhVmLUCqybgGlLSwqYwpwNUwLOYapDaGeoETLWO,https://news.example.com/article/3,"sports, tech, economy",English,Canada,West,Politics,0.1,-0.51,40.42,975,4694,3,9,1,1,1,1,5986,0
4,News Headline 4,Author 3,InfoToday,2023-01-04,ZMvtXpnpRRdXWeNnecHjvSCMJnZbqEqRiRxgHIyqNurTwOlnLFcjHdkhDaFIogAInvVkyifUACKmEvPXFXHDokTJWohLEomosbgDzAxxTFzYxNSpuriOFMPboCXKSknspCvxwJoRWaSFTgTWxYFCmARXjjfVuZNUfLXgSNCySSKwpMMhJQhwzTinmeaUdHeIHdYAxSil,https://news.example.com/article/4,"politics, sports, tech",English,Canada,South,Health,0.69,0.56,44.09,418,3830,1,4,1,1,0,0,1642,0
5,News Headline 5,Author 100,Daily News,2023-01-05,mhCIfNDrtHWSSuiXaAe hRhmtgoubAZABeAxnRxZNtICvdcCUcMkWxnnUevxrApeHoFgEWEoxgNgFBEQOAYeBwYnpkGyABofEwqjXA t DCkeUBS UoDhCBrtIleDOlYcedrbUpnTdYxLyNYLgYye DPHKwdAWzxDJhMkwbsyloldDuOCLeTNnalpZHAKzZKYAbvAiUY,https://news.example.com/article/5,"health, economy, science",English,UK,East,Technology,0.21,-0.08,72.55,984,1479,2,5,0,0,0,0,9762,0
6,News Headline 6,Author 73,Daily News,2023-01-06,kmzfJjZTzXwsBjnyVGHLCRPADtXLXcZYfYsDBBXTXDjpFqTeuOdCtZdYbKMmReifzhDwxZrSkeygJDMLofOsmjpfhVqihlBjnBCIHyPBrByZAbGcjExYYytfEA FaELsRIGpmANBlWamszVaiuOumNSiicefyuXKnLEl yBPnATQXAArRMDIzxWURYMmAzycIsmWSjro,https://news.example.com/article/6,"politics, economy, health",English,USA,North,Politics,0.44,0.37,36.5,620,3586,5,0,0,1,0,1,4462,0
7,News Headline 7,Author 28,Daily News,2023-01-07,MpJUeMKHMWfSiWzfIHgtetItOHgraSGcMWSCAGDLgggtE NdegW LrxnwLXkHAWKcCxhycde zQpSNktkEkxdGibsUISasxhXWO BmGHTCYrxUxGgzOqPlYsObWqtCnzCMKrIItCbGFZYFP uGrbkjWuTSudBQtctzATgXKTOVVSsecyDWtCljxXpzxEuFvLWQiYnWfU,https://news.example.com/article/7,"politics, economy, health",English,Canada,East,Politics,0.42,-0.46,46.37,834,3012,2,0,0,1,0,1,9227,0
8,News Headline 8,Author 27,InfoToday,2023-01-08,yxpD IUUZuhVaUYDbkjQzwWzBOxUajMtlCf UhZUguDJhfyHjnfydkBVvcvFKJSXnrgrjWfSNbgvDuNFPWmSPgsy mxFIUOLsWkxVfvjpjcIY Mul qLaTSuGWFnulfnhbYwdtuJDKFSVUSN nvtRhB TKqQtaoOXZKAmDWmbl pYPdSzTeJFNUPRfBeS rzuwAqcVnM,https://news.example.com/article/8,"politics, sports, science",English,UK,West,Politics,0.55,0.06,37.87,714,3036,0,5,1,0,1,1,2792,1
9,News Headline 9,Author 86,Times,2023-01-09,cjwUomqsnSnGdhluwAiaFCrLlFPdgFjzeoDcPUXH jsqEpSKZTvANyFFoWSpuixtQaQhbLz OshdZhEKhfLaBeSUzuvwoeiquyhopZsQaNSUF EkEEEAsfVkMiYMAXkXiElvZIZpSwjlQtWRbkGHsrsYdbGzjlbnOcFOZZDSuQZqB oQgBBfPVcVycLB MXMwR vJXXe,https://news.example.com/article/9,"tech, economy, sports",English,Canada,South,Sports,0.29,0.74,50.96,660,4402,4,4,0,0,0,1,5390,1
10,News Headline 10,Author 6,InfoToday,2023-01-10,RbpdaSHvbzNqVGmWdXbEDmXjwWkRuoGYKQYzJYnyToeWS vDRsi bNdjoOfguVlJGEsIiJECymzlMZoOJLxtrlxMdpKuEaUNUxxOlyrdEzXuAxqETOKkj PmAQGLk FDPdqUEButtiZqaREzbdiONmnAMLxXcdn VrdtXf eSYEgsTnfLkx WvIfufZIcTOclfaZAIvc,https://news.example.com/article/10,"science, sports, tech",English,USA,East,Health,0.5,0.49,37.48,335,5544,1,6,0,0,1,0,1888,0
